Fid,District,Confirmed ,Deaths,Recovered
1,Chitipa,64,3,61
2,Karonga,82,4,75
3,NkhataBay,196,2,192
4,Rumphi,36,3,32
5,Mzimba,154,3,143
6,Likoma,4,2,2
7,Kasungu,49,1,38
8,Nkhotakota,84,1,81
9,Ntchisi,4,0,3
10,Dowa,87,3,76
11,Salima,47,0,47
12,Lilongwe,1353,49,609
13,Mchinji,66,5,45
14,Dedza,50,0,30
15,Ntcheu,45,1,44
16,Mangochi,149,2,146
17,Machinga,73,0,69
18,Zomba ,156,6,143
19,Chiradzulu,47,1,42
20,Blantyre,1979,76,1837
21,Thyolo,68,1,65
22,Mulanje,43,1,41
23,Phalombe,11,1,8
24,Chikwawa,46,0,44
25,Nsanje,37,1,31
26,Balaka,49,1,45
27,Neno,59,0,58
28,Lilongwe City,1353,49,609
31,Zomba City,156,6,143
32,Mwanza,232,1,230
29,Mzuzu City,566,13,303
30,Blantyre City,1979,76,1837
